id,name,scientific name,type,parent species id,family,group,authority,rarity,status,obscurity,link
300,Oehoe,Bubo bubo,soort,,Strigidae (Uilen),Vogels,"(Linnaeus, C, 1758)",zeldzaam,inheems,,https://waarneming.nl/species/300/
247070,Oehoe ssp bubo,Bubo bubo bubo,ondersoort,300,Strigidae (Uilen),Vogels,"(Linnaeus, C, 1758)",zeldzaam,inheems,vervaagd (5km),https://waarneming.nl/species/247070/
8097,Oeraluil,Strix uralensis,soort,,Strigidae (Uilen),Vogels,"Pallas, PS, 1771",vrij algemeen,exoot,,https://waarneming.nl/species/8097/
154,Oeverloper,Actitis hypoleucos,soort,,Scolopacidae (Strandlopers en snippen),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/154/
76424,Oevermaina,Acridotheres ginginianus,soort,,Sturnidae (Spreeuwen),Vogels,"(Latham, J, 1790)",vrij algemeen,exoot,,https://waarneming.nl/species/76424/
358,Oeverpieper,Anthus petrosus,soort,,Motacillidae (Piepers en Kwikstaarten),Vogels,"(Montagu, G, 1798)",vrij algemeen,inheems,,https://waarneming.nl/species/358/
155,Oeverzwaluw,Riparia riparia,soort,,Hirundinidae (Zwaluwen),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/155/
256317,Oeverzwaluw ssp riparia,Riparia riparia riparia,ondersoort,155,Hirundinidae (Zwaluwen),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/256317/
7,Ooievaar,Ciconia ciconia,soort,,Ciconiidae (Ooievaars),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/7/
244029,Ooievaar ssp ciconia,Ciconia ciconia ciconia,ondersoort,7,Ciconiidae (Ooievaars),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/244029/
1564,Oostelijke Blonde Tapuit,Oenanthe melanoleuca,soort,,Muscicapidae (Vliegenvangers),Vogels,"(Güldenstädt, JA, 1775)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1564/
79300,Oostelijke Gele Kwikstaart,Motacilla tschutschensis,soort,,Motacillidae (Piepers en Kwikstaarten),Vogels,"Gmelin, JF, 1789",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/79300/
159690,Oostelijke Grauwe Gans,Anser anser rubrirostris,ondersoort,104,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"Swinhoe, R, 1871",zeer zeldzaam,inheems,,https://waarneming.nl/species/159690/
1545,Oostelijke Kraagtrap,Chlamydotis macqueenii,soort,,Otididae (Trappen),Vogels,"(Gray, JE, 1832)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/1545/
77189,Oostelijke Vale Spotvogel,Iduna pallida,soort,,Acrocephalidae (Rietzangers),Vogels,"(Hemprich, WF; Ehrenberg, CG, 1833)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/77189/
